DATA FROM BINANCE
COLLECTED BY StonksBot#2363

StonksBot#2363 [30-Mar-2022]	[23:00] BTC $47138.00
StonksBot#2363 [30-Mar-2022]	[23:15] BTC $47138.25
StonksBot#2363 [30-Mar-2022]	[23:30] BTC $47183.51
StonksBot#2363 [30-Mar-2022]	[23:45] BTC $47344.43
StonksBot#2363 [31-Mar-2022]	[0:00] BTC $47263.98
StonksBot#2363 [31-Mar-2022]	[0:15] BTC $47284.12
StonksBot#2363 [31-Mar-2022]	[0:30] BTC $47221.99
StonksBot#2363 [31-Mar-2022]	[0:45] BTC $47534.00
StonksBot#2363 [31-Mar-2022]	[1:00] BTC $47675.10
StonksBot#2363 [31-Mar-2022]	[1:15] BTC $47638.62
StonksBot#2363 [31-Mar-2022]	[1:30] BTC $47480.27
StonksBot#2363 [31-Mar-2022]	[1:45] BTC $47327.08
StonksBot#2363 [31-Mar-2022]	[2:00] BTC $47130.01
StonksBot#2363 [31-Mar-2022]	[2:15] BTC $47171.02
StonksBot#2363 [31-Mar-2022]	[2:30] BTC $46972.02
StonksBot#2363 [31-Mar-2022]	[2:45] BTC $46979.99
StonksBot#2363 [31-Mar-2022]	[3:00] BTC $47113.72
StonksBot#2363 [31-Mar-2022]	[3:15] BTC $47121.00
StonksBot#2363 [31-Mar-2022]	[3:30] BTC $47057.51
StonksBot#2363 [31-Mar-2022]	[3:45] BTC $47149.78
StonksBot#2363 [31-Mar-2022]	[4:00] BTC $47238.37
StonksBot#2363 [31-Mar-2022]	[4:15] BTC $47160.83
StonksBot#2363 [31-Mar-2022]	[4:30] BTC $47176.48
StonksBot#2363 [31-Mar-2022]	[4:45] BTC $46993.96
StonksBot#2363 [31-Mar-2022]	[5:00] BTC $46950.60
StonksBot#2363 [31-Mar-2022]	[5:15] BTC $46886.00
StonksBot#2363 [31-Mar-2022]	[5:30] BTC $46945.92
StonksBot#2363 [31-Mar-2022]	[5:45] BTC $46991.00
StonksBot#2363 [31-Mar-2022]	[6:00] BTC $47076.58
StonksBot#2363 [31-Mar-2022]	[6:15] BTC $47120.67
StonksBot#2363 [31-Mar-2022]	[6:30] BTC $47161.60
StonksBot#2363 [31-Mar-2022]	[6:45] BTC $47127.19
StonksBot#2363 [31-Mar-2022]	[7:00] BTC $47067.99
StonksBot#2363 [31-Mar-2022]	[7:15] BTC $47135.71
StonksBot#2363 [31-Mar-2022]	[7:30] BTC $47157.53
