DATA FROM BINANCE
COLLECTED BY StonksBot#2363

StonksBot#2363 [30-Mar-2022]	[23:00] ETH $3381.70
StonksBot#2363 [30-Mar-2022]	[23:15] ETH $3382.74
StonksBot#2363 [30-Mar-2022]	[23:30] ETH $3391.16
StonksBot#2363 [30-Mar-2022]	[23:45] ETH $3402.90
StonksBot#2363 [31-Mar-2022]	[0:00] ETH $3396.99
StonksBot#2363 [31-Mar-2022]	[0:15] ETH $3402.13
StonksBot#2363 [31-Mar-2022]	[0:30] ETH $3392.56
StonksBot#2363 [31-Mar-2022]	[0:45] ETH $3420.33
StonksBot#2363 [31-Mar-2022]	[1:00] ETH $3439.67
StonksBot#2363 [31-Mar-2022]	[1:15] ETH $3434.14
StonksBot#2363 [31-Mar-2022]	[1:30] ETH $3421.06
StonksBot#2363 [31-Mar-2022]	[1:45] ETH $3409.14
StonksBot#2363 [31-Mar-2022]	[2:00] ETH $3396.67
StonksBot#2363 [31-Mar-2022]	[2:15] ETH $3395.03
StonksBot#2363 [31-Mar-2022]	[2:30] ETH $3384.81
StonksBot#2363 [31-Mar-2022]	[2:45] ETH $3386.51
StonksBot#2363 [31-Mar-2022]	[3:00] ETH $3398.00
StonksBot#2363 [31-Mar-2022]	[3:15] ETH $3392.97
StonksBot#2363 [31-Mar-2022]	[3:30] ETH $3391.88
StonksBot#2363 [31-Mar-2022]	[3:45] ETH $3400.51
StonksBot#2363 [31-Mar-2022]	[4:00] ETH $3409.13
StonksBot#2363 [31-Mar-2022]	[4:15] ETH $3401.75
StonksBot#2363 [31-Mar-2022]	[4:30] ETH $3404.05
StonksBot#2363 [31-Mar-2022]	[4:45] ETH $3393.66
StonksBot#2363 [31-Mar-2022]	[5:00] ETH $3384.08
StonksBot#2363 [31-Mar-2022]	[5:15] ETH $3375.18
StonksBot#2363 [31-Mar-2022]	[5:30] ETH $3385.78
StonksBot#2363 [31-Mar-2022]	[5:45] ETH $3385.08
StonksBot#2363 [31-Mar-2022]	[6:00] ETH $3387.31
StonksBot#2363 [31-Mar-2022]	[6:15] ETH $3388.55
StonksBot#2363 [31-Mar-2022]	[6:30] ETH $3390.21
StonksBot#2363 [31-Mar-2022]	[6:45] ETH $3390.30
StonksBot#2363 [31-Mar-2022]	[7:00] ETH $3385.79
StonksBot#2363 [31-Mar-2022]	[7:15] ETH $3395.82
StonksBot#2363 [31-Mar-2022]	[7:30] ETH $3394.44
StonksBot#2363 [31-Mar-2022]	[7:45] ETH $3404.37
StonksBot#2363 [31-Mar-2022]	[8:00] ETH $3399.90
StonksBot#2363 [31-Mar-2022]	[8:15] ETH $3406.00
StonksBot#2363 [31-Mar-2022]	[8:30] ETH $3412.89
StonksBot#2363 [31-Mar-2022]	[8:45] ETH $3408.95
