DATA FROM BINANCE
COLLECTED BY StonksBot#2363

StonksBot#2363 [30-Mar-2022]	[23:45] SOL $123.6
StonksBot#2363 [31-Mar-2022]	[0:00] SOL $124.0
StonksBot#2363 [31-Mar-2022]	[0:15] SOL $123.4
StonksBot#2363 [31-Mar-2022]	[0:30] SOL $123.3
StonksBot#2363 [31-Mar-2022]	[0:45] SOL $122.9
StonksBot#2363 [31-Mar-2022]	[1:00] SOL $123.6
StonksBot#2363 [31-Mar-2022]	[1:15] SOL $123.3
StonksBot#2363 [31-Mar-2022]	[1:30] SOL $122.8
StonksBot#2363 [31-Mar-2022]	[1:45] SOL $122.1
StonksBot#2363 [31-Mar-2022]	[2:00] SOL $121.3
StonksBot#2363 [31-Mar-2022]	[2:15] SOL $122.0
StonksBot#2363 [31-Mar-2022]	[2:30] SOL $121.3
StonksBot#2363 [31-Mar-2022]	[2:45] SOL $120.8
StonksBot#2363 [31-Mar-2022]	[3:00] SOL $121.3
StonksBot#2363 [31-Mar-2022]	[3:15] SOL $120.6
StonksBot#2363 [31-Mar-2022]	[3:30] SOL $120.4
StonksBot#2363 [31-Mar-2022]	[3:45] SOL $120.9
StonksBot#2363 [31-Mar-2022]	[4:00] SOL $120.6
StonksBot#2363 [31-Mar-2022]	[4:15] SOL $120.3
StonksBot#2363 [31-Mar-2022]	[4:30] SOL $120.4
StonksBot#2363 [31-Mar-2022]	[4:45] SOL $120.4
StonksBot#2363 [31-Mar-2022]	[5:00] SOL $119.9
StonksBot#2363 [31-Mar-2022]	[5:15] SOL $119.3
StonksBot#2363 [31-Mar-2022]	[5:30] SOL $120.0
StonksBot#2363 [31-Mar-2022]	[5:45] SOL $120.3
StonksBot#2363 [31-Mar-2022]	[6:00] SOL $119.9
StonksBot#2363 [31-Mar-2022]	[6:15] SOL $119.9
StonksBot#2363 [31-Mar-2022]	[6:30] SOL $120.4
StonksBot#2363 [31-Mar-2022]	[6:45] SOL $120.7
StonksBot#2363 [31-Mar-2022]	[7:00] SOL $120.8
StonksBot#2363 [31-Mar-2022]	[7:15] SOL $121.0
StonksBot#2363 [31-Mar-2022]	[7:30] SOL $120.8
StonksBot#2363 [31-Mar-2022]	[7:45] SOL $121.6
StonksBot#2363 [31-Mar-2022]	[8:00] SOL $120.7
StonksBot#2363 [31-Mar-2022]	[8:15] SOL $121.5
StonksBot#2363 [31-Mar-2022]	[8:30] SOL $121.7
StonksBot#2363 [31-Mar-2022]	[8:45] SOL $122.9
StonksBot#2363 [31-Mar-2022]	[9:00] SOL $123.6
StonksBot#2363 [31-Mar-2022]	[9:15] SOL $122.7
StonksBot#2363 [31-Mar-2022]	[9:30] SOL $121.9
StonksBot#2363 [31-Mar-2022]	[9:45] SOL $121.6
StonksBot#2363 [31-Mar-2022]	[10:00] SOL $121.6
StonksBot#2363 [31-Mar-2022]	[10:15] SOL $121.6
StonksBot#2363 [31-Mar-2022]	[10:30] SOL $122.1
StonksBot#2363 [31-Mar-2022]	[10:45] SOL $121.5
StonksBot#2363 [31-Mar-2022]	[11:00] SOL $121.2
StonksBot#2363 [31-Mar-2022]	[11:15] SOL $121.2
StonksBot#2363 [31-Mar-2022]	[11:30] SOL $121.1
StonksBot#2363 [31-Mar-2022]	[11:45] SOL $120.4
StonksBot#2363 [31-Mar-2022]	[12:00] SOL $120.8
StonksBot#2363 [31-Mar-2022]	[12:15] SOL $121.5
StonksBot#2363 [31-Mar-2022]	[12:30] SOL $121.6
StonksBot#2363 [31-Mar-2022]	[12:45] SOL $122.1
StonksBot#2363 [31-Mar-2022]	[13:00] SOL $121.6
StonksBot#2363 [31-Mar-2022]	[13:15] SOL $121.9
StonksBot#2363 [31-Mar-2022]	[13:30] SOL $122.1
StonksBot#2363 [31-Mar-2022]	[13:45] SOL $122.2
StonksBot#2363 [31-Mar-2022]	[14:00] SOL $122.3
StonksBot#2363 [31-Mar-2022]	[14:15] SOL $122.5
StonksBot#2363 [31-Mar-2022]	[14:30] SOL $122.7
StonksBot#2363 [31-Mar-2022]	[14:45] SOL $123.3
StonksBot#2363 [31-Mar-2022]	[15:00] SOL $123.0
StonksBot#2363 [31-Mar-2022]	[15:15] SOL $123.1
StonksBot#2363 [31-Mar-2022]	[15:30] SOL $122.9
StonksBot#2363 [31-Mar-2022]	[15:45] SOL $122.6
StonksBot#2363 [31-Mar-2022]	[16:00] SOL $123.0
StonksBot#2363 [31-Mar-2022]	[16:15] SOL $123.1
StonksBot#2363 [31-Mar-2022]	[16:30] SOL $124.6
StonksBot#2363 [31-Mar-2022]	[16:45] SOL $124.2
StonksBot#2363 [31-Mar-2022]	[17:00] SOL $124.6
StonksBot#2363 [31-Mar-2022]	[17:15] SOL $124.7
StonksBot#2363 [31-Mar-2022]	[17:30] SOL $126.7
StonksBot#2363 [31-Mar-2022]	[17:45] SOL $126.1
StonksBot#2363 [31-Mar-2022]	[18:00] SOL $126.3
StonksBot#2363 [31-Mar-2022]	[18:15] SOL $126.2
StonksBot#2363 [31-Mar-2022]	[18:30] SOL $126.9
StonksBot#2363 [31-Mar-2022]	[18:45] SOL $126.8
StonksBot#2363 [31-Mar-2022]	[19:00] SOL $127.3
StonksBot#2363 [31-Mar-2022]	[19:15] SOL $126.9
StonksBot#2363 [31-Mar-2022]	[19:30] SOL $127.0
StonksBot#2363 [31-Mar-2022]	[19:45] SOL $127.5
StonksBot#2363 [31-Mar-2022]	[20:00] SOL $127.7
StonksBot#2363 [31-Mar-2022]	[20:15] SOL $127.1
StonksBot#2363 [31-Mar-2022]	[20:30] SOL $126.6
StonksBot#2363 [31-Mar-2022]	[20:45] SOL $126.9
StonksBot#2363 [31-Mar-2022]	[21:00] SOL $124.8
StonksBot#2363 [31-Mar-2022]	[21:15] SOL $123.3
StonksBot#2363 [31-Mar-2022]	[21:30] SOL $123.2
StonksBot#2363 [31-Mar-2022]	[21:45] SOL $126.5
StonksBot#2363 [31-Mar-2022]	[22:00] SOL $128.7
StonksBot#2363 [31-Mar-2022]	[22:15] SOL $127.1
StonksBot#2363 [31-Mar-2022]	[22:30] SOL $126.8
StonksBot#2363 [31-Mar-2022]	[22:45] SOL $126.2
StonksBot#2363 [31-Mar-2022]	[23:00] SOL $125.2
StonksBot#2363 [31-Mar-2022]	[23:15] SOL $126.1
