DATA FROM BINANCE
COLLECTED BY StonksBot#2363

StonksBot#2363 [30-Mar-2022]	[23:45] BNB $447.30
StonksBot#2363 [31-Mar-2022]	[0:00] BNB $445.80
StonksBot#2363 [31-Mar-2022]	[0:15] BNB $446.90
StonksBot#2363 [31-Mar-2022]	[0:30] BNB $445.20
StonksBot#2363 [31-Mar-2022]	[0:45] BNB $447.40
StonksBot#2363 [31-Mar-2022]	[1:00] BNB $448.10
StonksBot#2363 [31-Mar-2022]	[1:15] BNB $448.20
StonksBot#2363 [31-Mar-2022]	[1:30] BNB $446.50
StonksBot#2363 [31-Mar-2022]	[1:45] BNB $446.70
StonksBot#2363 [31-Mar-2022]	[2:00] BNB $445.20
StonksBot#2363 [31-Mar-2022]	[2:15] BNB $445.50
StonksBot#2363 [31-Mar-2022]	[2:30] BNB $443.80
StonksBot#2363 [31-Mar-2022]	[2:45] BNB $443.60
StonksBot#2363 [31-Mar-2022]	[3:00] BNB $445.10
StonksBot#2363 [31-Mar-2022]	[3:15] BNB $445.70
StonksBot#2363 [31-Mar-2022]	[3:30] BNB $445.20
StonksBot#2363 [31-Mar-2022]	[3:45] BNB $446.20
StonksBot#2363 [31-Mar-2022]	[4:00] BNB $446.00
StonksBot#2363 [31-Mar-2022]	[4:15] BNB $443.80
StonksBot#2363 [31-Mar-2022]	[4:30] BNB $443.10
StonksBot#2363 [31-Mar-2022]	[4:45] BNB $441.90
StonksBot#2363 [31-Mar-2022]	[5:00] BNB $442.00
StonksBot#2363 [31-Mar-2022]	[5:15] BNB $441.30
StonksBot#2363 [31-Mar-2022]	[5:30] BNB $442.80
StonksBot#2363 [31-Mar-2022]	[5:45] BNB $442.80
StonksBot#2363 [31-Mar-2022]	[6:00] BNB $442.90
StonksBot#2363 [31-Mar-2022]	[6:15] BNB $442.90
StonksBot#2363 [31-Mar-2022]	[6:30] BNB $443.50
StonksBot#2363 [31-Mar-2022]	[6:45] BNB $443.50
StonksBot#2363 [31-Mar-2022]	[7:00] BNB $442.10
StonksBot#2363 [31-Mar-2022]	[7:15] BNB $443.70
StonksBot#2363 [31-Mar-2022]	[7:30] BNB $445.70
StonksBot#2363 [31-Mar-2022]	[7:45] BNB $447.60
StonksBot#2363 [31-Mar-2022]	[8:00] BNB $448.20
StonksBot#2363 [31-Mar-2022]	[8:15] BNB $448.10
StonksBot#2363 [31-Mar-2022]	[8:30] BNB $449.60
StonksBot#2363 [31-Mar-2022]	[8:45] BNB $449.30
StonksBot#2363 [31-Mar-2022]	[9:00] BNB $451.20
StonksBot#2363 [31-Mar-2022]	[9:15] BNB $447.90
StonksBot#2363 [31-Mar-2022]	[9:30] BNB $446.40
StonksBot#2363 [31-Mar-2022]	[9:45] BNB $446.00
StonksBot#2363 [31-Mar-2022]	[10:00] BNB $445.80
StonksBot#2363 [31-Mar-2022]	[10:15] BNB $446.10
StonksBot#2363 [31-Mar-2022]	[10:30] BNB $445.80
StonksBot#2363 [31-Mar-2022]	[10:45] BNB $445.70
StonksBot#2363 [31-Mar-2022]	[11:00] BNB $444.90
StonksBot#2363 [31-Mar-2022]	[11:15] BNB $443.90
StonksBot#2363 [31-Mar-2022]	[11:30] BNB $442.50
StonksBot#2363 [31-Mar-2022]	[11:45] BNB $442.20
StonksBot#2363 [31-Mar-2022]	[12:00] BNB $442.70
StonksBot#2363 [31-Mar-2022]	[12:15] BNB $442.80
StonksBot#2363 [31-Mar-2022]	[12:30] BNB $443.70
StonksBot#2363 [31-Mar-2022]	[12:45] BNB $443.80
StonksBot#2363 [31-Mar-2022]	[13:00] BNB $443.40
StonksBot#2363 [31-Mar-2022]	[13:15] BNB $443.60
StonksBot#2363 [31-Mar-2022]	[13:30] BNB $443.50
StonksBot#2363 [31-Mar-2022]	[13:45] BNB $444.70
StonksBot#2363 [31-Mar-2022]	[14:00] BNB $444.30
StonksBot#2363 [31-Mar-2022]	[14:15] BNB $444.90
StonksBot#2363 [31-Mar-2022]	[14:30] BNB $444.30
StonksBot#2363 [31-Mar-2022]	[14:45] BNB $444.80
StonksBot#2363 [31-Mar-2022]	[15:00] BNB $444.70
StonksBot#2363 [31-Mar-2022]	[15:15] BNB $445.60
StonksBot#2363 [31-Mar-2022]	[15:30] BNB $445.50
StonksBot#2363 [31-Mar-2022]	[15:45] BNB $445.80
StonksBot#2363 [31-Mar-2022]	[16:00] BNB $446.70
StonksBot#2363 [31-Mar-2022]	[16:15] BNB $445.60
StonksBot#2363 [31-Mar-2022]	[16:30] BNB $446.50
StonksBot#2363 [31-Mar-2022]	[16:45] BNB $446.60
StonksBot#2363 [31-Mar-2022]	[17:00] BNB $447.30
StonksBot#2363 [31-Mar-2022]	[17:15] BNB $447.40
StonksBot#2363 [31-Mar-2022]	[17:30] BNB $447.40
StonksBot#2363 [31-Mar-2022]	[17:45] BNB $448.50
StonksBot#2363 [31-Mar-2022]	[18:00] BNB $447.90
StonksBot#2363 [31-Mar-2022]	[18:15] BNB $447.00
StonksBot#2363 [31-Mar-2022]	[18:30] BNB $447.20
StonksBot#2363 [31-Mar-2022]	[18:45] BNB $444.90
StonksBot#2363 [31-Mar-2022]	[19:00] BNB $445.10
StonksBot#2363 [31-Mar-2022]	[19:15] BNB $446.00
StonksBot#2363 [31-Mar-2022]	[19:30] BNB $446.70
StonksBot#2363 [31-Mar-2022]	[19:45] BNB $447.30
StonksBot#2363 [31-Mar-2022]	[20:00] BNB $448.40
StonksBot#2363 [31-Mar-2022]	[20:15] BNB $446.30
StonksBot#2363 [31-Mar-2022]	[20:30] BNB $445.80
StonksBot#2363 [31-Mar-2022]	[20:45] BNB $445.60
StonksBot#2363 [31-Mar-2022]	[21:00] BNB $442.70
StonksBot#2363 [31-Mar-2022]	[21:15] BNB $434.80
StonksBot#2363 [31-Mar-2022]	[21:30] BNB $432.20
StonksBot#2363 [31-Mar-2022]	[21:45] BNB $435.00
StonksBot#2363 [31-Mar-2022]	[22:00] BNB $438.30
StonksBot#2363 [31-Mar-2022]	[22:15] BNB $435.30
